Time,PV Productie (W)
13-08-2016 0:00,"0"
13-08-2016 0:15,"0"
13-08-2016 0:30,"0"
13-08-2016 0:45,"0"
13-08-2016 1:00,"0"
13-08-2016 1:15,"0"
13-08-2016 1:30,"0"
13-08-2016 1:45,"0"
13-08-2016 2:00,"0"
13-08-2016 2:15,"0"
13-08-2016 2:30,"0"
13-08-2016 2:45,"0"
13-08-2016 3:00,"0"
13-08-2016 3:15,"0"
13-08-2016 3:30,"0"
13-08-2016 3:45,"0"
13-08-2016 4:00,"0"
13-08-2016 4:15,"0"
13-08-2016 4:30,"0"
13-08-2016 4:45,"0"
13-08-2016 5:00,"0"
13-08-2016 5:15,"0"
13-08-2016 5:30,"0"
13-08-2016 5:45,"0"
13-08-2016 6:00,"0"
13-08-2016 6:15,"0"
13-08-2016 6:30,"9.3333"
13-08-2016 6:45,"81.3333"
13-08-2016 7:00,"164.8333"
13-08-2016 7:15,"302"
13-08-2016 7:30,"190.8333"
13-08-2016 7:45,"395.6667"
13-08-2016 8:00,"669.6667"
13-08-2016 8:15,"518"
13-08-2016 8:30,"403.1667"
13-08-2016 8:45,"735.5"
13-08-2016 9:00,"909.8333"
13-08-2016 9:15,"1261.5"
13-08-2016 9:30,"1521.3334"
13-08-2016 9:45,"999"
13-08-2016 10:00,"1572.3334"
13-08-2016 10:15,"3174.6667"
13-08-2016 10:30,"1676.5"
13-08-2016 10:45,"2864.6667"
13-08-2016 11:00,"3422.1667"
13-08-2016 11:15,"3180.5"
13-08-2016 11:30,"2619.6667"
13-08-2016 11:45,"1310"
13-08-2016 12:00,"2081.3333"
13-08-2016 12:15,"2935.5"
13-08-2016 12:30,"3068.1667"
13-08-2016 12:45,"1932"
13-08-2016 13:00,"3475.5"
13-08-2016 13:15,"2671.8333"
13-08-2016 13:30,"1271.5"
13-08-2016 13:45,"3289.1667"
13-08-2016 14:00,"3843.6667"
13-08-2016 14:15,"2481"
13-08-2016 14:30,"2697.1667"
13-08-2016 14:45,"2851.1667"
13-08-2016 15:00,"3412.1667"
13-08-2016 15:15,"2848.5"
13-08-2016 15:30,"2861.5"
13-08-2016 15:45,"2387.6667"
13-08-2016 16:00,"3199.1667"
13-08-2016 16:15,"2148.5"
13-08-2016 16:30,"1845.5"
13-08-2016 16:45,"2144.6667"
13-08-2016 17:00,"1272.3334"
13-08-2016 17:15,"1299.1666"
13-08-2016 17:30,"1248.6666"
13-08-2016 17:45,"1374.8334"
13-08-2016 18:00,"813.8333"
13-08-2016 18:15,"984.8333"
13-08-2016 18:30,"890"
13-08-2016 18:45,"429.1667"
13-08-2016 19:00,"362"
13-08-2016 19:15,"377.8333"
13-08-2016 19:30,"263.1667"
13-08-2016 19:45,"180.8333"
13-08-2016 20:00,"208.3333"
13-08-2016 20:15,"173.8333"
13-08-2016 20:30,"91.8333"
13-08-2016 20:45,"11.1667"
13-08-2016 21:00,"0"
13-08-2016 21:15,"0"
13-08-2016 21:30,"0"
13-08-2016 21:45,"0"
13-08-2016 22:00,"0"
13-08-2016 22:15,"0"
13-08-2016 22:30,"0"
13-08-2016 22:45,"0"
13-08-2016 23:00,"0"
13-08-2016 23:15,"0"
13-08-2016 23:30,"0"
13-08-2016 23:45,"0"
14-08-2016 0:00,"0"
14-08-2016 0:15,"0"
14-08-2016 0:30,"0"
14-08-2016 0:45,"0"
14-08-2016 1:00,"0"
14-08-2016 1:15,"0"
14-08-2016 1:30,"0"
14-08-2016 1:45,"0"
14-08-2016 2:00,"0"
14-08-2016 2:15,"0"
14-08-2016 2:30,"0"
14-08-2016 2:45,"0"
14-08-2016 3:00,"0"
14-08-2016 3:15,"0"
14-08-2016 3:30,"0"
14-08-2016 3:45,"0"
14-08-2016 4:00,"0"
14-08-2016 4:15,"0"
14-08-2016 4:30,"0"
14-08-2016 4:45,"0"
14-08-2016 5:00,"0"
14-08-2016 5:15,"0"
14-08-2016 5:30,"0"
14-08-2016 5:45,"0"
14-08-2016 6:00,"0"
14-08-2016 6:15,"0"
14-08-2016 6:30,"0"
14-08-2016 6:45,"4.5"
14-08-2016 7:00,"34.8333"
14-08-2016 7:15,"47.6667"
14-08-2016 7:30,"82.8333"
14-08-2016 7:45,"142"
14-08-2016 8:00,"243.1667"
14-08-2016 8:15,"433.3333"
14-08-2016 8:30,"485.6667"
14-08-2016 8:45,"471.1667"
14-08-2016 9:00,"377"
14-08-2016 9:15,"942"
14-08-2016 9:30,"900.3333"
14-08-2016 9:45,"814.8333"
14-08-2016 10:00,"878.6667"
14-08-2016 10:15,"1090"
14-08-2016 10:30,"2321.3333"
14-08-2016 10:45,"1566.1666"
14-08-2016 11:00,"2880.8333"
14-08-2016 11:15,"3743.6667"
14-08-2016 11:30,"2819.8333"
14-08-2016 11:45,"3437.6667"
14-08-2016 12:00,"3454"
14-08-2016 12:15,"3801"
14-08-2016 12:30,"1277.3334"
14-08-2016 12:45,"1689.3334"
14-08-2016 13:00,"2159.1667"
14-08-2016 13:15,"2470.6667"
14-08-2016 13:30,"932"
14-08-2016 13:45,"859.3333"
14-08-2016 14:00,"935.5"
14-08-2016 14:15,"883.1667"
14-08-2016 14:30,"1006.1667"
14-08-2016 14:45,"1175.3334"
14-08-2016 15:00,"3182"
14-08-2016 15:15,"2102.1667"
14-08-2016 15:30,"3172"
14-08-2016 15:45,"3183.3333"
14-08-2016 16:00,"2906.8333"
14-08-2016 16:15,"2391.3333"
14-08-2016 16:30,"1835.5"
14-08-2016 16:45,"2478.5"
14-08-2016 17:00,"1676"
14-08-2016 17:15,"1469"
14-08-2016 17:30,"795.5"
14-08-2016 17:45,"1085"
14-08-2016 18:00,"876"
14-08-2016 18:15,"592.3333"
14-08-2016 18:30,"451.3333"
14-08-2016 18:45,"359"
14-08-2016 19:00,"358.3333"
14-08-2016 19:15,"284.5"
14-08-2016 19:30,"257.8333"
14-08-2016 19:45,"179.1667"
14-08-2016 20:00,"136"
14-08-2016 20:15,"104.3333"
14-08-2016 20:30,"56.8333"
14-08-2016 20:45,"9"
14-08-2016 21:00,"0"
14-08-2016 21:15,"0"
14-08-2016 21:30,"0"
14-08-2016 21:45,"0"
14-08-2016 22:00,"0"
14-08-2016 22:15,"0"
14-08-2016 22:30,"0"
14-08-2016 22:45,"0"
