Time,PV Productie (W)
17-08-2016 0:00,"0"
17-08-2016 0:15,"0"
17-08-2016 0:30,"0"
17-08-2016 0:45,"0"
17-08-2016 1:00,"0"
17-08-2016 1:15,"0"
17-08-2016 1:30,"0"
17-08-2016 1:45,"0"
17-08-2016 2:00,"0"
17-08-2016 2:15,"0"
17-08-2016 2:30,"0"
17-08-2016 2:45,"0"
17-08-2016 3:00,"0"
17-08-2016 3:15,"0"
17-08-2016 3:30,"0"
17-08-2016 3:45,"0"
17-08-2016 4:00,"0"
17-08-2016 4:15,"0"
17-08-2016 4:30,"0"
17-08-2016 4:45,"0"
17-08-2016 5:00,"0"
17-08-2016 5:15,"0"
17-08-2016 5:30,"0"
17-08-2016 5:45,"0"
17-08-2016 6:00,"0"
17-08-2016 6:15,"0"
17-08-2016 6:30,"0"
17-08-2016 6:45,"47.5"
17-08-2016 7:00,"128.1667"
17-08-2016 7:15,"247.8333"
17-08-2016 7:30,"398.1667"
17-08-2016 7:45,"574.3333"
17-08-2016 8:00,"789"
17-08-2016 8:15,"1053.8334"
17-08-2016 8:30,"1304.8334"
17-08-2016 8:45,"1584.3334"
17-08-2016 9:00,"1846.1666"
17-08-2016 9:15,"2144"
17-08-2016 9:30,"2348.3333"
17-08-2016 9:45,"2555.8333"
17-08-2016 10:00,"2712"
17-08-2016 10:15,"2908.6667"
17-08-2016 10:30,"3055.3333"
17-08-2016 10:45,"3176.3333"
17-08-2016 11:00,"3310.3333"
17-08-2016 11:15,"3419.1667"
17-08-2016 11:30,"3519.1667"
17-08-2016 11:45,"3580.6667"
17-08-2016 12:00,"3659.3333"
17-08-2016 12:15,"3707.1667"
17-08-2016 12:30,"3753.1667"
17-08-2016 12:45,"3775.1667"
17-08-2016 13:00,"3781"
17-08-2016 13:15,"3759.5"
17-08-2016 13:30,"3746.1667"
17-08-2016 13:45,"3728.5"
17-08-2016 14:00,"3675"
17-08-2016 14:15,"3599.6667"
17-08-2016 14:30,"3504.6667"
17-08-2016 14:45,"3411.8333"
17-08-2016 15:00,"3302.8333"
17-08-2016 15:15,"3197.3333"
17-08-2016 15:30,"3046.5"
17-08-2016 15:45,"2912.8333"
17-08-2016 16:00,"2761.1667"
17-08-2016 16:15,"2574.8333"
17-08-2016 16:30,"2324.3333"
17-08-2016 16:45,"2062.5"
17-08-2016 17:00,"1862.1666"
17-08-2016 17:15,"1688.8334"
17-08-2016 17:30,"1465"
17-08-2016 17:45,"1254"
17-08-2016 18:00,"1041.5"
17-08-2016 18:15,"853.1667"
17-08-2016 18:30,"666"
17-08-2016 18:45,"463"
17-08-2016 19:00,"291.8333"
17-08-2016 19:15,"160.6667"
17-08-2016 19:30,"124.3333"
17-08-2016 19:45,"106.8333"
17-08-2016 20:00,"86"
17-08-2016 20:15,"62.8333"
17-08-2016 20:30,"33.3333"
17-08-2016 20:45,"2"
17-08-2016 21:00,"0"
17-08-2016 21:15,"0"
17-08-2016 21:30,"0"
17-08-2016 21:45,"0"
17-08-2016 22:00,"0"
17-08-2016 22:15,"0"
17-08-2016 22:30,"0"
17-08-2016 22:45,"0"
17-08-2016 23:00,"0"
17-08-2016 23:15,"0"
17-08-2016 23:30,"0"
17-08-2016 23:45,"0"
18-08-2016 0:00,"0"
18-08-2016 0:15,"0"
18-08-2016 0:30,"0"
18-08-2016 0:45,"0"
18-08-2016 1:00,"0"
18-08-2016 1:15,"0"
18-08-2016 1:30,"0"
18-08-2016 1:45,"0"
18-08-2016 2:00,"0"
18-08-2016 2:15,"0"
18-08-2016 2:30,"0"
18-08-2016 2:45,"0"
18-08-2016 3:00,"0"
18-08-2016 3:15,"0"
18-08-2016 3:30,"0"
18-08-2016 3:45,"0"
18-08-2016 4:00,"0"
18-08-2016 4:15,"0"
18-08-2016 4:30,"0"
18-08-2016 4:45,"0"
18-08-2016 5:00,"0"
18-08-2016 5:15,"0"
18-08-2016 5:30,"0"
18-08-2016 5:45,"0"
18-08-2016 6:00,"0"
18-08-2016 6:15,"0"
18-08-2016 6:30,"2.8333"
18-08-2016 6:45,"64"
18-08-2016 7:00,"174.1667"
18-08-2016 7:15,"321.6667"
18-08-2016 7:30,"502.8333"
18-08-2016 7:45,"719"
18-08-2016 8:00,"1028.5"
18-08-2016 8:15,"1329.8334"
18-08-2016 8:30,"1613.8334"
18-08-2016 8:45,"1906.3334"
18-08-2016 9:00,"2246.3333"
18-08-2016 9:15,"2470.6667"
18-08-2016 9:30,"2698.8333"
18-08-2016 9:45,"2962.6667"
18-08-2016 10:00,"3259.8333"
18-08-2016 10:15,"2938.1667"
18-08-2016 10:30,"3127.3333"
18-08-2016 10:45,"3596.8333"
18-08-2016 11:00,"3512.8333"
18-08-2016 11:15,"3680.6667"
18-08-2016 11:30,"3503.1667"
18-08-2016 11:45,"3824.3333"
18-08-2016 12:00,"3954.8333"
18-08-2016 12:15,"3722.5"
18-08-2016 12:30,"3640.8333"
18-08-2016 12:45,"3531.3333"
18-08-2016 13:00,"3374.8333"
18-08-2016 13:15,"3102.5"
18-08-2016 13:30,"3346.5"
18-08-2016 13:45,"3493.3333"
18-08-2016 14:00,"3781.6667"
18-08-2016 14:15,"3444.1667"
18-08-2016 14:30,"3546"
18-08-2016 14:45,"3389.8333"
18-08-2016 15:00,"3270.1667"
18-08-2016 15:15,"2992.1667"
18-08-2016 15:30,"2814.5"
18-08-2016 15:45,"1645.1666"
18-08-2016 16:00,"2288.5"
18-08-2016 16:15,"2395.1667"
18-08-2016 16:30,"2144.5"
18-08-2016 16:45,"1884.5"
18-08-2016 17:00,"1689.8334"
18-08-2016 17:15,"1430.1666"
18-08-2016 17:30,"1208.5"
18-08-2016 17:45,"996"
18-08-2016 18:00,"774.1667"
18-08-2016 18:15,"587.6667"
18-08-2016 18:30,"446.1667"
18-08-2016 18:45,"290.8333"
18-08-2016 19:00,"221.1667"
18-08-2016 19:15,"189.3333"
18-08-2016 19:30,"133.3333"
18-08-2016 19:45,"99.1667"
18-08-2016 20:00,"94.3333"
18-08-2016 20:15,"72.8333"
18-08-2016 20:30,"39.3333"
18-08-2016 20:45,"4.1667"
18-08-2016 21:00,"0"
18-08-2016 21:15,"0"
18-08-2016 21:30,"0"
18-08-2016 21:45,"0"
18-08-2016 22:00,"0"
18-08-2016 22:15,"0"
18-08-2016 22:30,"0"
18-08-2016 22:45,"0"
18-08-2016 23:00,"0"
18-08-2016 23:15,"0"
18-08-2016 23:30,"0"
18-08-2016 23:45,"0"
19-08-2016 0:00,"0"
19-08-2016 0:15,"0"
19-08-2016 0:30,"0"
19-08-2016 0:45,"0"
19-08-2016 1:00,"0"
19-08-2016 1:15,"0"
19-08-2016 1:30,"0"
19-08-2016 1:45,"0"
19-08-2016 2:00,"0"
19-08-2016 2:15,"0"
19-08-2016 2:30,"0"
19-08-2016 2:45,"0"
19-08-2016 3:00,"0"
19-08-2016 3:15,"0"
19-08-2016 3:30,"0"
19-08-2016 3:45,"0"
19-08-2016 4:00,"0"
19-08-2016 4:15,"0"
19-08-2016 4:30,"0"
19-08-2016 4:45,"0"
19-08-2016 5:00,"0"
19-08-2016 5:15,"0"
19-08-2016 5:30,"0"
19-08-2016 5:45,"0"
19-08-2016 6:00,"0"
19-08-2016 6:15,"0"
19-08-2016 6:30,"0"
19-08-2016 6:45,"17.1667"
19-08-2016 7:00,"64.6667"
19-08-2016 7:15,"118.8333"
19-08-2016 7:30,"217"
19-08-2016 7:45,"330.5"
19-08-2016 8:00,"485.5"
19-08-2016 8:15,"641.8333"
19-08-2016 8:30,"829.5"
19-08-2016 8:45,"578.6667"
19-08-2016 9:00,"659"
19-08-2016 9:15,"495.6667"
19-08-2016 9:30,"460.6667"
19-08-2016 9:45,"590.1667"
19-08-2016 10:00,"764.8333"
19-08-2016 10:15,"1204.1666"
19-08-2016 10:30,"1416"
19-08-2016 10:45,"1426.5"
19-08-2016 11:00,"2626.8333"
19-08-2016 11:15,"2576.6667"
19-08-2016 11:30,"1236.8334"
19-08-2016 11:45,"1361.8334"
19-08-2016 12:00,"1347.1666"
19-08-2016 12:15,"1158.5"
19-08-2016 12:30,"1364.3334"
19-08-2016 12:45,"1390.6666"
19-08-2016 13:00,"1377.8334"
19-08-2016 13:15,"1415.3334"
19-08-2016 13:30,"1207"
19-08-2016 13:45,"822.6667"
19-08-2016 14:00,"1144.5"
19-08-2016 14:15,"922.8333"
19-08-2016 14:30,"964.6667"
19-08-2016 14:45,"868.3333"
19-08-2016 15:00,"610"
19-08-2016 15:15,"614"
19-08-2016 15:30,"612.3333"
19-08-2016 15:45,"637.8333"
19-08-2016 16:00,"545.6667"
19-08-2016 16:15,"682.3333"
19-08-2016 16:30,"605"
19-08-2016 16:45,"848.6667"
19-08-2016 17:00,"488.1667"
19-08-2016 17:15,"371.5"
19-08-2016 17:30,"296.6667"
19-08-2016 17:45,"260.6667"
19-08-2016 18:00,"333.3333"
19-08-2016 18:15,"261.5"
19-08-2016 18:30,"256.3333"
19-08-2016 18:45,"191.8333"
19-08-2016 19:00,"68.1667"
19-08-2016 19:15,"69.8333"
19-08-2016 19:30,"60.6667"
19-08-2016 19:45,"31.1667"
19-08-2016 20:00,"0"
19-08-2016 20:15,"0"
19-08-2016 20:30,"0"
19-08-2016 20:45,"0"
19-08-2016 21:00,"0"
19-08-2016 21:15,"0"
19-08-2016 21:30,"0"
19-08-2016 21:45,"0"
19-08-2016 22:00,"0"
19-08-2016 22:15,"0"
19-08-2016 22:30,"0"
19-08-2016 22:45,"0"
19-08-2016 23:00,"0"
19-08-2016 23:15,"0"
19-08-2016 23:30,"0"
19-08-2016 23:45,"0"
20-08-2016 0:00,"0"
20-08-2016 0:15,"0"
20-08-2016 0:30,"0"
20-08-2016 0:45,"0"
20-08-2016 1:00,"0"
20-08-2016 1:15,"0"
20-08-2016 1:30,"0"
20-08-2016 1:45,"0"
20-08-2016 2:00,"0"
20-08-2016 2:15,"0"
20-08-2016 2:30,"0"
20-08-2016 2:45,"0"
20-08-2016 3:00,"0"
20-08-2016 3:15,"0"
20-08-2016 3:30,"0"
20-08-2016 3:45,"0"
20-08-2016 4:00,"0"
20-08-2016 4:15,"0"
20-08-2016 4:30,"0"
20-08-2016 4:45,"0"
20-08-2016 5:00,"0"
20-08-2016 5:15,"0"
20-08-2016 5:30,"0"
20-08-2016 5:45,"0"
20-08-2016 6:00,"0"
20-08-2016 6:15,"0"
20-08-2016 6:30,"0"
20-08-2016 6:45,"14.5"
20-08-2016 7:00,"42"
20-08-2016 7:15,"76.5"
20-08-2016 7:30,"80.8333"
20-08-2016 7:45,"97.5"
20-08-2016 8:00,"215.5"
20-08-2016 8:15,"177.8333"
20-08-2016 8:30,"271"
20-08-2016 8:45,"222.3333"
20-08-2016 9:00,"31.5"
20-08-2016 9:15,"359.3333"
20-08-2016 9:30,"516"
20-08-2016 9:45,"684.8333"
20-08-2016 10:00,"1281"
20-08-2016 10:15,"897.3333"
20-08-2016 10:30,"1000.5"
20-08-2016 10:45,"1663.5"
20-08-2016 11:00,"1380.5"
20-08-2016 11:15,"1202.3334"
20-08-2016 11:30,"1381"
20-08-2016 11:45,"1150"
20-08-2016 12:00,"3128.8333"
20-08-2016 12:15,"3404.5"
20-08-2016 12:30,"3271.5"
20-08-2016 12:45,"3538"
20-08-2016 13:00,"3468.8333"
20-08-2016 13:15,"3561.8333"
20-08-2016 13:30,"3528.1667"
20-08-2016 13:45,"3363.1667"
20-08-2016 14:00,"3410.3333"
20-08-2016 14:15,"547.6667"
20-08-2016 14:30,"2773.75"
20-08-2016 14:45,"2602.25"
20-08-2016 15:00,"3415.75"
20-08-2016 15:15,"2381.5"
20-08-2016 15:30,"3048.8333"
20-08-2016 15:45,"2940.1667"
20-08-2016 16:00,"2211.1667"
20-08-2016 16:15,"1855"
20-08-2016 16:30,"1594.6666"
20-08-2016 16:45,"2326.6667"
20-08-2016 17:00,"1554.5"
20-08-2016 17:15,"1840.8334"
20-08-2016 17:30,"1557.6666"
20-08-2016 17:45,"1414"
20-08-2016 18:00,"1269.6666"
20-08-2016 18:15,"1134.8334"
20-08-2016 18:30,"196.6667"
20-08-2016 18:45,"30.1667"
20-08-2016 19:00,"47.3333"
20-08-2016 19:15,"57.6667"
20-08-2016 19:30,"192.1667"
20-08-2016 19:45,"211.1667"
20-08-2016 20:00,"74.6667"
20-08-2016 20:15,"51.6667"
20-08-2016 20:30,"35"
20-08-2016 20:45,"0"
20-08-2016 21:00,"0"
20-08-2016 21:15,"0"
20-08-2016 21:30,"0"
20-08-2016 21:45,"0"
20-08-2016 22:00,"0"
20-08-2016 22:15,"0"
20-08-2016 22:30,"0"
20-08-2016 22:45,"0"
20-08-2016 23:00,"0"
20-08-2016 23:15,"0"
20-08-2016 23:30,"0"
20-08-2016 23:45,"0"
21-08-2016 0:00,"0"
21-08-2016 0:15,"0"
21-08-2016 0:30,"0"
21-08-2016 0:45,"0"
21-08-2016 1:00,"0"
21-08-2016 1:15,"0"
21-08-2016 1:30,"0"
21-08-2016 1:45,"0"
21-08-2016 2:00,"0"
21-08-2016 2:15,"0"
21-08-2016 2:30,"0"
21-08-2016 2:45,"0"
21-08-2016 3:00,"0"
21-08-2016 3:15,"0"
21-08-2016 3:30,"0"
21-08-2016 3:45,"0"
21-08-2016 4:00,"0"
21-08-2016 4:15,"0"
21-08-2016 4:30,"0"
21-08-2016 4:45,"0"
21-08-2016 5:00,"0"
21-08-2016 5:15,"0"
21-08-2016 5:30,"0"
21-08-2016 5:45,"0"
21-08-2016 6:00,"0"
21-08-2016 6:15,"0"
21-08-2016 6:30,"0"
21-08-2016 6:45,"40.6667"
21-08-2016 7:00,"80.8333"
21-08-2016 7:15,"51"
21-08-2016 7:30,"85.8333"
21-08-2016 7:45,"253"
21-08-2016 8:00,"263.6667"
21-08-2016 8:15,"233"
21-08-2016 8:30,"100"
21-08-2016 8:45,"209"
21-08-2016 9:00,"445.6667"
21-08-2016 9:15,"470.6667"
21-08-2016 9:30,"287.6667"
21-08-2016 9:45,"385.8333"
21-08-2016 10:00,"734.5"
21-08-2016 10:15,"244.8333"
21-08-2016 10:30,"149.1667"
21-08-2016 10:45,"301.5"
21-08-2016 11:00,"721.8333"
21-08-2016 11:15,"530.3333"
21-08-2016 11:30,"799"
21-08-2016 11:45,"388.3333"
21-08-2016 12:00,"489.8333"
21-08-2016 12:15,"582.6667"
21-08-2016 12:30,"1442.6666"
21-08-2016 12:45,"1819"
21-08-2016 13:00,"1022.6667"
21-08-2016 13:15,"1135.5"
21-08-2016 13:30,"2979.3333"
21-08-2016 13:45,"2023"
21-08-2016 14:00,"1117.6666"
21-08-2016 14:15,"189.1667"
21-08-2016 14:30,"572"
21-08-2016 14:45,"1182.1666"
21-08-2016 15:00,"723"
21-08-2016 15:15,"1581"
21-08-2016 15:30,"1467.1666"
21-08-2016 15:45,"356"
21-08-2016 16:00,"302.1667"
21-08-2016 16:15,"1238.8334"
21-08-2016 16:30,"2482.6667"
21-08-2016 16:45,"1657.6666"
21-08-2016 17:00,"1521.6666"
21-08-2016 17:15,"1819.5"
21-08-2016 17:30,"1341.6666"
21-08-2016 17:45,"926.5"
21-08-2016 18:00,"1056.1666"
21-08-2016 18:15,"1153"
21-08-2016 18:30,"1001.5"
21-08-2016 18:45,"232.6667"
21-08-2016 19:00,"309.8333"
21-08-2016 19:15,"266.1667"
21-08-2016 19:30,"296.8333"
21-08-2016 19:45,"219.5"
21-08-2016 20:00,"85.1667"
21-08-2016 20:15,"49.1667"
21-08-2016 20:30,"9.1667"
21-08-2016 20:45,"0"
21-08-2016 21:00,"0"
21-08-2016 21:15,"0"
21-08-2016 21:30,"0"
21-08-2016 21:45,"0"
21-08-2016 22:00,"0"
21-08-2016 22:15,"0"
21-08-2016 22:30,"0"
21-08-2016 22:45,"0"
21-08-2016 23:00,"0"
21-08-2016 23:15,"0"
21-08-2016 23:30,"0"
21-08-2016 23:45,"0"
22-08-2016 0:00,"0"
22-08-2016 0:15,"0"
22-08-2016 0:30,"0"
22-08-2016 0:45,"0"
22-08-2016 1:00,"0"
22-08-2016 1:15,"0"
22-08-2016 1:30,"0"
22-08-2016 1:45,"0"
22-08-2016 2:00,"0"
22-08-2016 2:15,"0"
22-08-2016 2:30,"0"
22-08-2016 2:45,"0"
22-08-2016 3:00,"0"
22-08-2016 3:15,"0"
22-08-2016 3:30,"0"
22-08-2016 3:45,"0"
22-08-2016 4:00,"0"
22-08-2016 4:15,"0"
22-08-2016 4:30,"0"
22-08-2016 4:45,"0"
22-08-2016 5:00,"0"
22-08-2016 5:15,"0"
22-08-2016 5:30,"0"
22-08-2016 5:45,"0"
22-08-2016 6:00,"0"
22-08-2016 6:15,"0"
22-08-2016 6:30,"0"
22-08-2016 6:45,"0"
22-08-2016 7:00,"0"
22-08-2016 7:15,"1.1667"
22-08-2016 7:30,"24.1667"
22-08-2016 7:45,"86.8333"
22-08-2016 8:00,"49.6667"
22-08-2016 8:15,"139.5"
22-08-2016 8:30,"155.8333"
22-08-2016 8:45,"164.6667"
22-08-2016 9:00,"224.5"
22-08-2016 9:15,"224.3333"
22-08-2016 9:30,"297.8333"
22-08-2016 9:45,"347.8333"
22-08-2016 10:00,"493"
22-08-2016 10:15,"747.3333"
22-08-2016 10:30,"539.5"
22-08-2016 10:45,"507.6667"
22-08-2016 11:00,"702.5"
22-08-2016 11:15,"1041.6666"
22-08-2016 11:30,"1351.8334"
22-08-2016 11:45,"1320.8334"
22-08-2016 12:00,"1531.8334"
22-08-2016 12:15,"2405.5"
22-08-2016 12:30,"1213.8334"
22-08-2016 12:45,"1034.1666"
22-08-2016 13:00,"933"
22-08-2016 13:15,"1105.1666"
22-08-2016 13:30,"1266.8334"
22-08-2016 13:45,"2029.5"
22-08-2016 14:00,"1018.1667"
22-08-2016 14:15,"1891.3334"
22-08-2016 14:30,"1841.8334"
22-08-2016 14:45,"1596"
22-08-2016 15:00,"1133"
22-08-2016 15:15,"1071.8334"
22-08-2016 15:30,"2089.8333"
22-08-2016 15:45,"1316.3334"
22-08-2016 16:00,"2093.6667"
22-08-2016 16:15,"2105.1667"
22-08-2016 16:30,"1774.3334"
22-08-2016 16:45,"1642.8334"
22-08-2016 17:00,"1798.1666"
22-08-2016 17:15,"1636.6666"
22-08-2016 17:30,"1467"
22-08-2016 17:45,"1300.6666"
22-08-2016 18:00,"1129.3334"
22-08-2016 18:15,"1066.8334"
22-08-2016 18:30,"902.6667"
22-08-2016 18:45,"551.1667"
22-08-2016 19:00,"267.5"
22-08-2016 19:15,"98.8333"
22-08-2016 19:30,"99.1667"
22-08-2016 19:45,"85.3333"
22-08-2016 20:00,"60.3333"
22-08-2016 20:15,"41"
22-08-2016 20:30,"0"
22-08-2016 20:45,"0"
22-08-2016 21:00,"0"
22-08-2016 21:15,"0"
22-08-2016 21:30,"0"
22-08-2016 21:45,"0"
22-08-2016 22:00,"0"
22-08-2016 22:15,"0"
22-08-2016 22:30,"0"
22-08-2016 22:45,"0"
22-08-2016 23:00,"0"
22-08-2016 23:15,"0"
22-08-2016 23:30,"0"
22-08-2016 23:45,"0"
23-08-2016 0:00,"0"
23-08-2016 0:15,"0"
23-08-2016 0:30,"0"
23-08-2016 0:45,"0"
23-08-2016 1:00,"0"
23-08-2016 1:15,"0"
23-08-2016 1:30,"0"
23-08-2016 1:45,"0"
23-08-2016 2:00,"0"
23-08-2016 2:15,"0"
23-08-2016 2:30,"0"
23-08-2016 2:45,"0"
23-08-2016 3:00,"0"
23-08-2016 3:15,"0"
23-08-2016 3:30,"0"
23-08-2016 3:45,"0"
23-08-2016 4:00,"0"
23-08-2016 4:15,"0"
23-08-2016 4:30,"0"
23-08-2016 4:45,"0"
23-08-2016 5:00,"0"
23-08-2016 5:15,"0"
23-08-2016 5:30,"0"
23-08-2016 5:45,"0"
23-08-2016 6:00,"0"
23-08-2016 6:15,"0"
23-08-2016 6:30,"0"
23-08-2016 6:45,"21.8333"
23-08-2016 7:00,"96.3333"
23-08-2016 7:15,"194"
23-08-2016 7:30,"350"
23-08-2016 7:45,"475.5"
23-08-2016 8:00,"547.6667"
23-08-2016 8:15,"834.5"
23-08-2016 8:30,"1062.1666"
23-08-2016 8:45,"1302.1666"
23-08-2016 9:00,"1462.6666"
23-08-2016 9:15,"1582.8334"
23-08-2016 9:30,"1841.6666"
23-08-2016 9:45,"1995.5"
23-08-2016 10:00,"2159.8333"
23-08-2016 10:15,"2291.1667"
23-08-2016 10:30,"2399.5"
23-08-2016 10:45,"2530.5"
23-08-2016 11:00,"2622"
23-08-2016 11:15,"2724.6667"
23-08-2016 11:30,"2812.1667"
23-08-2016 11:45,"2887"
23-08-2016 12:00,"3557"
23-08-2016 12:15,"3647.6667"
23-08-2016 12:30,"0"
23-08-2016 12:45,"0"
23-08-2016 13:00,"0"
23-08-2016 13:15,"0"
23-08-2016 13:30,"0"
23-08-2016 13:45,"0"
23-08-2016 14:00,"0"
23-08-2016 14:15,"0"
23-08-2016 14:30,"0"
23-08-2016 14:45,"0"
23-08-2016 15:00,"0"
23-08-2016 15:15,"0"
23-08-2016 15:30,"0"
23-08-2016 15:45,"0"
23-08-2016 16:00,"0"
23-08-2016 16:15,"0"
23-08-2016 16:30,"0"
23-08-2016 16:45,"0"
23-08-2016 17:00,"0"
23-08-2016 17:15,"0"
23-08-2016 17:30,"0"
23-08-2016 17:45,"0"
23-08-2016 18:00,"0"
23-08-2016 18:15,"0"
23-08-2016 18:30,"0"
