Time,Solar Production (W)
08/24/2016 00:00,"0"
08/24/2016 00:15,"0"
08/24/2016 00:30,"0"
08/24/2016 00:45,"0"
08/24/2016 01:00,"0"
08/24/2016 01:15,"0"
08/24/2016 01:30,"0"
08/24/2016 01:45,"0"
08/24/2016 02:00,"0"
08/24/2016 02:15,"0"
08/24/2016 02:30,"0"
08/24/2016 02:45,"0"
08/24/2016 03:00,"0"
08/24/2016 03:15,"0"
08/24/2016 03:30,"0"
08/24/2016 03:45,"0"
08/24/2016 04:00,"0"
08/24/2016 04:15,"0"
08/24/2016 04:30,"0"
08/24/2016 04:45,"0"
08/24/2016 05:00,"0"
08/24/2016 05:15,"0"
08/24/2016 05:30,"0"
08/24/2016 05:45,"0"
08/24/2016 06:00,"0"
08/24/2016 06:15,"0"
08/24/2016 06:30,"0"
08/24/2016 06:45,"9.8333"
08/24/2016 07:00,"112.3333"
08/24/2016 07:15,"270"
08/24/2016 07:30,"474"
08/24/2016 07:45,"685.8333"
08/24/2016 08:00,"988"
08/24/2016 08:15,"1280"
08/24/2016 08:30,"1509.1666"
08/24/2016 08:45,"1784"
08/24/2016 09:00,"2044.6666"
08/24/2016 09:15,"2261.8333"
08/24/2016 09:30,"2468.8333"
08/24/2016 09:45,"2644.6667"
08/24/2016 10:00,"2825.3333"
08/24/2016 10:15,"2985"
08/24/2016 10:30,"3115"
08/24/2016 10:45,"3242.1667"
08/24/2016 11:00,"3364.6667"
08/24/2016 11:15,"3439.6667"
08/24/2016 11:30,"3515.5"
08/24/2016 11:45,"3556.6667"
08/24/2016 12:00,"3605"
08/24/2016 12:15,"3633"
08/24/2016 12:30,"3644.6667"
08/24/2016 12:45,"3659"
08/24/2016 13:00,"3658.5"
08/24/2016 13:15,"3639.6667"
08/24/2016 13:30,"3588.3333"
08/24/2016 13:45,"3561.5"
08/24/2016 14:00,"3506.6667"
08/24/2016 14:15,"3448.6667"
08/24/2016 14:30,"3366"
08/24/2016 14:45,"3261.6667"
08/24/2016 15:00,"3148.1667"
08/24/2016 15:15,"3014.5"
08/24/2016 15:30,"2871"
08/24/2016 15:45,"2719"
08/24/2016 16:00,"2551.1667"
08/24/2016 16:15,"2359.1667"
08/24/2016 16:30,"2133.1667"
08/24/2016 16:45,"1880.3334"
08/24/2016 17:00,"1652.6666"
08/24/2016 17:15,"1387.8334"
08/24/2016 17:30,"1166"
08/24/2016 17:45,"915.6667"
08/24/2016 18:00,"682.1667"
08/24/2016 18:15,"443.8333"
08/24/2016 18:30,"308"
08/24/2016 18:45,"181.3333"
08/24/2016 19:00,"125"
08/24/2016 19:15,"106.8333"
08/24/2016 19:30,"90.5"
08/24/2016 19:45,"74.6667"
08/24/2016 20:00,"56"
08/24/2016 20:15,"15.3333"
08/24/2016 20:30,"0"
08/24/2016 20:45,"0"
08/24/2016 21:00,"0"
08/24/2016 21:15,"0"
08/24/2016 21:30,"0"
08/24/2016 21:45,"0"
08/24/2016 22:00,"0"
08/24/2016 22:15,"0"
08/24/2016 22:30,"0"
08/24/2016 22:45,"0"
08/24/2016 23:00,"0"
08/24/2016 23:15,"0"
08/24/2016 23:30,"0"
08/24/2016 23:45,"0"
08/25/2016 00:00,"0"
08/25/2016 00:15,"0"
08/25/2016 00:30,"0"
08/25/2016 00:45,"0"
08/25/2016 01:00,"0"
08/25/2016 01:15,"0"
08/25/2016 01:30,"0"
08/25/2016 01:45,"0"
08/25/2016 02:00,"0"
08/25/2016 02:15,"0"
08/25/2016 02:30,"0"
08/25/2016 02:45,"0"
08/25/2016 03:00,"0"
08/25/2016 03:15,"0"
08/25/2016 03:30,"0"
08/25/2016 03:45,"0"
08/25/2016 04:00,"0"
08/25/2016 04:15,"0"
08/25/2016 04:30,"0"
08/25/2016 04:45,"0"
08/25/2016 05:00,"0"
08/25/2016 05:15,"0"
08/25/2016 05:30,"0"
08/25/2016 05:45,"0"
08/25/2016 06:00,"0"
08/25/2016 06:15,"0"
08/25/2016 06:30,"0"
08/25/2016 06:45,"15.8333"
08/25/2016 07:00,"105.3333"
08/25/2016 07:15,"244.6667"
08/25/2016 07:30,"426"
08/25/2016 07:45,"628.3333"
08/25/2016 08:00,"884.3333"
08/25/2016 08:15,"1169.3334"
08/25/2016 08:30,"1410.1666"
08/25/2016 08:45,"1624.6666"
08/25/2016 09:00,"1882.6666"
08/25/2016 09:15,"2099.6667"
08/25/2016 09:30,"2308"
08/25/2016 09:45,"2494.5"
08/25/2016 10:00,"2667.3333"
08/25/2016 10:15,"2836.5"
08/25/2016 10:30,"2960.5"
08/25/2016 10:45,"3086"
08/25/2016 11:00,"3188.5"
08/25/2016 11:15,"3297.6667"
08/25/2016 11:30,"3375.8333"
08/25/2016 11:45,"3413.1667"
08/25/2016 12:00,"3449.6667"
08/25/2016 12:15,"3484.8333"
08/25/2016 12:30,"3514.6667"
08/25/2016 12:45,"3546.5"
08/25/2016 13:00,"3553"
08/25/2016 13:15,"3542.3333"
08/25/2016 13:30,"3509.8333"
08/25/2016 13:45,"3466.8333"
08/25/2016 14:00,"3393.1667"
08/25/2016 14:15,"3312.8333"
08/25/2016 14:30,"3250.1667"
08/25/2016 14:45,"3158"
08/25/2016 15:00,"3060.3333"
08/25/2016 15:15,"2951.1667"
08/25/2016 15:30,"2813.8333"
08/25/2016 15:45,"2638"
08/25/2016 16:00,"2465"
08/25/2016 16:15,"2301.8333"
08/25/2016 16:30,"2038.1666"
08/25/2016 16:45,"1809.5"
08/25/2016 17:00,"1594.3334"
08/25/2016 17:15,"1412.6666"
08/25/2016 17:30,"1195.6666"
08/25/2016 17:45,"970.5"
08/25/2016 18:00,"744.8333"
08/25/2016 18:15,"567.6667"
08/25/2016 18:30,"421.1667"
08/25/2016 18:45,"259"
08/25/2016 19:00,"163.5"
08/25/2016 19:15,"119.5"
08/25/2016 19:30,"97.6667"
08/25/2016 19:45,"79.3333"
08/25/2016 20:00,"53.8333"
08/25/2016 20:15,"21.1667"
08/25/2016 20:30,"0"
08/25/2016 20:45,"0"
08/25/2016 21:00,"0"
08/25/2016 21:15,"0"
08/25/2016 21:30,"0"
08/25/2016 21:45,"0"
08/25/2016 22:00,"0"
08/25/2016 22:15,"0"
08/25/2016 22:30,"0"
08/25/2016 22:45,"0"
08/25/2016 23:00,"0"
08/25/2016 23:15,"0"
08/25/2016 23:30,"0"
08/25/2016 23:45,"0"
08/26/2016 00:00,"0"
08/26/2016 00:15,"0"
08/26/2016 00:30,"0"
08/26/2016 00:45,"0"
08/26/2016 01:00,"0"
08/26/2016 01:15,"0"
08/26/2016 01:30,"0"
08/26/2016 01:45,"0"
08/26/2016 02:00,"0"
08/26/2016 02:15,"0"
08/26/2016 02:30,"0"
08/26/2016 02:45,"0"
08/26/2016 03:00,"0"
08/26/2016 03:15,"0"
08/26/2016 03:30,"0"
08/26/2016 03:45,"0"
08/26/2016 04:00,"0"
08/26/2016 04:15,"0"
08/26/2016 04:30,"0"
08/26/2016 04:45,"0"
08/26/2016 05:00,"0"
08/26/2016 05:15,"0"
08/26/2016 05:30,"0"
08/26/2016 05:45,"0"
08/26/2016 06:00,"0"
08/26/2016 06:15,"0"
08/26/2016 06:30,"0"
08/26/2016 06:45,"0"
08/26/2016 07:00,"20.3333"
08/26/2016 07:15,"103.8333"
08/26/2016 07:30,"248.8333"
08/26/2016 07:45,"439.3333"
08/26/2016 08:00,"642.6667"
08/26/2016 08:15,"818.3333"
08/26/2016 08:30,"952"
08/26/2016 08:45,"1126.3334"
08/26/2016 09:00,"1468.3334"
08/26/2016 09:15,"1717.6666"
08/26/2016 09:30,"1694.3334"
