Time,System Production (W)
09/02/2016 00:00,"0"
09/02/2016 00:15,"0"
09/02/2016 00:30,"0"
09/02/2016 00:45,"0"
09/02/2016 01:00,"0"
09/02/2016 01:15,"0"
09/02/2016 01:30,"0"
09/02/2016 01:45,"0"
09/02/2016 02:00,"0"
09/02/2016 02:15,"0"
09/02/2016 02:30,"0"
09/02/2016 02:45,"0"
09/02/2016 03:00,"0"
09/02/2016 03:15,"0"
09/02/2016 03:30,"0"
09/02/2016 03:45,"0"
09/02/2016 04:00,"0"
09/02/2016 04:15,"0"
09/02/2016 04:30,"0"
09/02/2016 04:45,"0"
09/02/2016 05:00,"0"
09/02/2016 05:15,"0"
09/02/2016 05:30,"0"
09/02/2016 05:45,"0"
09/02/2016 06:00,"0"
09/02/2016 06:15,"0"
09/02/2016 06:30,"0"
09/02/2016 06:45,"0"
09/02/2016 07:00,"12.6667"
09/02/2016 07:15,"46.8333"
09/02/2016 07:30,"100.1667"
09/02/2016 07:45,"126.1667"
09/02/2016 08:00,"420.1667"
09/02/2016 08:15,"980.6667"
09/02/2016 08:30,"1222"
09/02/2016 08:45,"1442.5"
09/02/2016 09:00,"448.3333"
09/02/2016 09:15,"1494.1666"
09/02/2016 09:30,"1658"
09/02/2016 09:45,"1871.3334"
09/02/2016 10:00,"2772"
09/02/2016 10:15,"2002.3334"
09/02/2016 10:30,"1917.8334"
09/02/2016 10:45,"2709.6667"
09/02/2016 11:00,"3183.3333"
09/02/2016 11:15,"1841.6666"
09/02/2016 11:30,"2349.1667"
09/02/2016 11:45,"1458.8334"
09/02/2016 12:00,"3128.6667"
09/02/2016 12:15,"3870.8333"
09/02/2016 12:30,"3706.6667"
09/02/2016 12:45,"3066.8333"
09/02/2016 13:00,"3807"
09/02/2016 13:15,"1909"
09/02/2016 13:30,"1504.6666"
09/02/2016 13:45,"1669"
09/02/2016 14:00,"1353.8334"
09/02/2016 14:15,"977.3333"
09/02/2016 14:30,"1158.1666"
09/02/2016 14:45,"1811.8334"
09/02/2016 15:00,"2076.1667"
09/02/2016 15:15,"1091.8334"
09/02/2016 15:30,"1060.1666"
09/02/2016 15:45,"1330.6666"
09/02/2016 16:00,"1211.5"
09/02/2016 16:15,"974.3333"
09/02/2016 16:30,"667.6667"
09/02/2016 16:45,"497.3333"
09/02/2016 17:00,"711.1667"
09/02/2016 17:15,"594.1667"
09/02/2016 17:30,"350.1667"
09/02/2016 17:45,"729.1667"
09/02/2016 18:00,"590.3333"
09/02/2016 18:15,"349.5"
09/02/2016 18:30,"239.5"
09/02/2016 18:45,"289.1667"
09/02/2016 19:00,"121.8333"
09/02/2016 19:15,"38.8333"
09/02/2016 19:30,"40.1667"
09/02/2016 19:45,"0"
09/02/2016 20:00,"0"
09/02/2016 20:15,"0"
09/02/2016 20:30,"0"
09/02/2016 20:45,"0"
09/02/2016 21:00,"0"
09/02/2016 21:15,"0"
09/02/2016 21:30,"0"
09/02/2016 21:45,"0"
09/02/2016 22:00,"0"
09/02/2016 22:15,"0"
09/02/2016 22:30,"0"
09/02/2016 22:45,"0"
09/02/2016 23:00,"0"
09/02/2016 23:15,"0"
09/02/2016 23:30,"0"
09/02/2016 23:45,"0"
09/03/2016 00:00,"0"
09/03/2016 00:15,"0"
09/03/2016 00:30,"0"
09/03/2016 00:45,"0"
09/03/2016 01:00,"0"
09/03/2016 01:15,"0"
09/03/2016 01:30,"0"
09/03/2016 01:45,"0"
09/03/2016 02:00,"0"
09/03/2016 02:15,"0"
09/03/2016 02:30,"0"
09/03/2016 02:45,"0"
09/03/2016 03:00,"0"
09/03/2016 03:15,"0"
09/03/2016 03:30,"0"
09/03/2016 03:45,"0"
09/03/2016 04:00,"0"
09/03/2016 04:15,"0"
