Time,PV Productie (W)
08-05-2016 0:00,"0"
08-05-2016 0:15,"0"
08-05-2016 0:30,"0"
08-05-2016 0:45,"0"
08-05-2016 1:00,"0"
08-05-2016 1:15,"0"
08-05-2016 1:30,"0"
08-05-2016 1:45,"0"
08-05-2016 2:00,"0"
08-05-2016 2:15,"0"
08-05-2016 2:30,"0"
08-05-2016 2:45,"0"
08-05-2016 3:00,"0"
08-05-2016 3:15,"0"
08-05-2016 3:30,"0"
08-05-2016 3:45,"0"
08-05-2016 4:00,"0"
08-05-2016 4:15,"0"
08-05-2016 4:30,"0"
08-05-2016 4:45,"0"
08-05-2016 5:00,"0"
08-05-2016 5:15,"0"
08-05-2016 5:30,"0"
08-05-2016 5:45,"0"
08-05-2016 6:00,"4.6667"
08-05-2016 6:15,"52.5"
08-05-2016 6:30,"117.3333"
08-05-2016 6:45,"218"
08-05-2016 7:00,"373"
08-05-2016 7:15,"526.6667"
08-05-2016 7:30,"689.3333"
08-05-2016 7:45,"869.1667"
08-05-2016 8:00,"1123.6666"
08-05-2016 8:15,"1406.5"
08-05-2016 8:30,"1604.8334"
08-05-2016 8:45,"1867.1666"
08-05-2016 9:00,"2227"
08-05-2016 9:15,"2477.1667"
08-05-2016 9:30,"2738.5"
08-05-2016 9:45,"2926.5"
08-05-2016 10:00,"3097"
08-05-2016 10:15,"3292.5"
08-05-2016 10:30,"3379.1667"
08-05-2016 10:45,"3306.6667"
08-05-2016 11:00,"3463.6667"
08-05-2016 11:15,"3522.6667"
08-05-2016 11:30,"3782.5"
08-05-2016 11:45,"3861.5"
08-05-2016 12:00,"3925.8333"
08-05-2016 12:15,"3953.1667"
08-05-2016 12:30,"3979.3333"
08-05-2016 12:45,"3992.3333"
08-05-2016 13:00,"3970.5"
08-05-2016 13:15,"3941.6667"
08-05-2016 13:30,"3853.5"
08-05-2016 13:45,"3055.8333"
08-05-2016 14:00,"3819.1667"
08-05-2016 14:15,"3756.8333"
08-05-2016 14:30,"3559.8333"
08-05-2016 14:45,"3577.6667"
08-05-2016 15:00,"3474"
08-05-2016 15:15,"3356.1667"
08-05-2016 15:30,"3219.3333"
08-05-2016 15:45,"3042.6667"
08-05-2016 16:00,"2867"
08-05-2016 16:15,"2669.6667"
08-05-2016 16:30,"2473.1667"
08-05-2016 16:45,"2251.1667"
08-05-2016 17:00,"2011.5"
08-05-2016 17:15,"1783.6666"
08-05-2016 17:30,"1546.1666"
08-05-2016 17:45,"1313.6666"
08-05-2016 18:00,"1064.3334"
08-05-2016 18:15,"835.1667"
08-05-2016 18:30,"604.3333"
08-05-2016 18:45,"412.3333"
08-05-2016 19:00,"270"
08-05-2016 19:15,"192"
08-05-2016 19:30,"157.5"
08-05-2016 19:45,"133"
08-05-2016 20:00,"115.3333"
08-05-2016 20:15,"93.8333"
08-05-2016 20:30,"73.8333"
08-05-2016 20:45,"46.5"
08-05-2016 21:00,"11.6667"
08-05-2016 21:15,"0"
08-05-2016 21:30,"0"
08-05-2016 21:45,"0"
08-05-2016 22:00,"0"
08-05-2016 22:15,"0"
08-05-2016 22:30,"0"
08-05-2016 22:45,"0"
08-05-2016 23:00,"0"
08-05-2016 23:15,"0"
08-05-2016 23:30,"0"
08-05-2016 23:45,"0"
09-05-2016 0:00,"0"
09-05-2016 0:15,"0"
09-05-2016 0:30,"0"
09-05-2016 0:45,"0"
09-05-2016 1:00,"0"
09-05-2016 1:15,"0"
09-05-2016 1:30,"0"
09-05-2016 1:45,"0"
09-05-2016 2:00,"0"
09-05-2016 2:15,"0"
09-05-2016 2:30,"0"
09-05-2016 2:45,"0"
09-05-2016 3:00,"0"
09-05-2016 3:15,"0"
09-05-2016 3:30,"0"
09-05-2016 3:45,"0"
09-05-2016 4:00,"0"
09-05-2016 4:15,"0"
09-05-2016 4:30,"0"
09-05-2016 4:45,"0"
09-05-2016 5:00,"0"
09-05-2016 5:15,"0"
09-05-2016 5:30,"0"
09-05-2016 5:45,"0"
09-05-2016 6:00,"8"
09-05-2016 6:15,"47"
09-05-2016 6:30,"86.3333"
09-05-2016 6:45,"169"
09-05-2016 7:00,"304.3333"
09-05-2016 7:15,"435.1667"
09-05-2016 7:30,"611"
09-05-2016 7:45,"785.6667"
09-05-2016 8:00,"1066.6666"
09-05-2016 8:15,"1396.1666"
09-05-2016 8:30,"1696.5"
09-05-2016 8:45,"1972.6666"
09-05-2016 9:00,"2231"
09-05-2016 9:15,"2530.3333"
09-05-2016 9:30,"2799.6667"
09-05-2016 9:45,"2995.3333"
09-05-2016 10:00,"3156.5"
09-05-2016 10:15,"3318.1667"
09-05-2016 10:30,"3467.5"
09-05-2016 10:45,"3595.5"
09-05-2016 11:00,"3730"
09-05-2016 11:15,"3817.3333"
09-05-2016 11:30,"3934.3333"
09-05-2016 11:45,"3978.3333"
09-05-2016 12:00,"4010.6667"
09-05-2016 12:15,"4041.6667"
09-05-2016 12:30,"3993.3333"
09-05-2016 12:45,"4115.5"
09-05-2016 13:00,"4108.5"
09-05-2016 13:15,"4002.1667"
09-05-2016 13:30,"3843.3333"
09-05-2016 13:45,"3950.1667"
09-05-2016 14:00,"3920"
09-05-2016 14:15,"3710.8333"
09-05-2016 14:30,"3634.5"
09-05-2016 14:45,"3350.3333"
09-05-2016 15:00,"3313.6667"
09-05-2016 15:15,"2717.8333"
09-05-2016 15:30,"2406.6667"
09-05-2016 15:45,"2768"
09-05-2016 16:00,"2279.8333"
09-05-2016 16:15,"1844.8334"
09-05-2016 16:30,"1768.5"
09-05-2016 16:45,"1969.1666"
09-05-2016 17:00,"1021.5"
09-05-2016 17:15,"750.3333"
09-05-2016 17:30,"793.8333"
09-05-2016 17:45,"924.3333"
09-05-2016 18:00,"1037.8334"
09-05-2016 18:15,"890.8333"
09-05-2016 18:30,"628.1667"
09-05-2016 18:45,"473.6667"
09-05-2016 19:00,"393.6667"
09-05-2016 19:15,"288.6667"
09-05-2016 19:30,"250.1667"
09-05-2016 19:45,"194.6667"
09-05-2016 20:00,"138.6667"
09-05-2016 20:15,"95.3333"
09-05-2016 20:30,"60.1667"
09-05-2016 20:45,"19.5"
09-05-2016 21:00,"0"
09-05-2016 21:15,"0"
09-05-2016 21:30,"0"
09-05-2016 21:45,"0"
09-05-2016 22:00,"0"
09-05-2016 22:15,"0"
09-05-2016 22:30,"0"
09-05-2016 22:45,"0"
09-05-2016 23:00,"0"
09-05-2016 23:15,"0"
09-05-2016 23:30,"0"
09-05-2016 23:45,"0"
10-05-2016 0:00,"0"
10-05-2016 0:15,"0"
10-05-2016 0:30,"0"
10-05-2016 0:45,"0"
10-05-2016 1:00,"0"
10-05-2016 1:15,"0"
10-05-2016 1:30,"0"
10-05-2016 1:45,"0"
10-05-2016 2:00,"0"
10-05-2016 2:15,"0"
10-05-2016 2:30,"0"
10-05-2016 2:45,"0"
10-05-2016 3:00,"0"
10-05-2016 3:15,"0"
10-05-2016 3:30,"0"
10-05-2016 3:45,"0"
10-05-2016 4:00,"0"
10-05-2016 4:15,"0"
10-05-2016 4:30,"0"
10-05-2016 4:45,"0"
10-05-2016 5:00,"0"
10-05-2016 5:15,"0"
10-05-2016 5:30,"0"
10-05-2016 5:45,"0"
10-05-2016 6:00,"0"
10-05-2016 6:15,"0"
10-05-2016 6:30,"0"
10-05-2016 6:45,"9.6667"
10-05-2016 7:00,"33.6667"
10-05-2016 7:15,"56.5"
10-05-2016 7:30,"76.6667"
10-05-2016 7:45,"84.8333"
10-05-2016 8:00,"114.1667"
10-05-2016 8:15,"151.1667"
10-05-2016 8:30,"159.5"
10-05-2016 8:45,"205.5"
10-05-2016 9:00,"245.8333"
10-05-2016 9:15,"439.1667"
10-05-2016 9:30,"696"
10-05-2016 9:45,"621.3333"
10-05-2016 10:00,"575.1667"
10-05-2016 10:15,"547.5"
10-05-2016 10:30,"564.6667"
10-05-2016 10:45,"727.5"
10-05-2016 11:00,"787"
10-05-2016 11:15,"1657.5"
10-05-2016 11:30,"2076.6667"
10-05-2016 11:45,"1340.6666"
10-05-2016 12:00,"1224.3334"
10-05-2016 12:15,"2377.3333"
10-05-2016 12:30,"1140.5"
10-05-2016 12:45,"983.6667"
10-05-2016 13:00,"1561.1666"
10-05-2016 13:15,"1091.3334"
10-05-2016 13:30,"1571.6666"
10-05-2016 13:45,"1752.6666"
10-05-2016 14:00,"2126.5"
10-05-2016 14:15,"3018.5"
10-05-2016 14:30,"3024.3333"
10-05-2016 14:45,"3056.3333"
10-05-2016 15:00,"1626.3334"
10-05-2016 15:15,"554.6667"
10-05-2016 15:30,"709.6667"
10-05-2016 15:45,"1016.5"
10-05-2016 16:00,"922.6667"
10-05-2016 16:15,"654.1667"
10-05-2016 16:30,"1330.8334"
10-05-2016 16:45,"1870.1666"
10-05-2016 17:00,"1438.3334"
10-05-2016 17:15,"875.8333"
10-05-2016 17:30,"590.3333"
10-05-2016 17:45,"453.3333"
10-05-2016 18:00,"769.6667"
10-05-2016 18:15,"439.1667"
10-05-2016 18:30,"178.6667"
10-05-2016 18:45,"61.3333"
10-05-2016 19:00,"23.1667"
10-05-2016 19:15,"16"
10-05-2016 19:30,"21"
10-05-2016 19:45,"3.6667"
10-05-2016 20:00,"20"
10-05-2016 20:15,"27"
10-05-2016 20:30,"16.5"
10-05-2016 20:45,"2.8333"
10-05-2016 21:00,"0"
10-05-2016 21:15,"0"
10-05-2016 21:30,"0"
10-05-2016 21:45,"0"
10-05-2016 22:00,"0"
10-05-2016 22:15,"0"
10-05-2016 22:30,"0"
10-05-2016 22:45,"0"
10-05-2016 23:00,"0"
10-05-2016 23:15,"0"
10-05-2016 23:30,"0"
10-05-2016 23:45,"0"
11-05-2016 0:00,"0"
11-05-2016 0:15,"0"
11-05-2016 0:30,"0"
11-05-2016 0:45,"0"
11-05-2016 1:00,"0"
11-05-2016 1:15,"0"
11-05-2016 1:30,"0"
11-05-2016 1:45,"0"
11-05-2016 2:00,"0"
11-05-2016 2:15,"0"
11-05-2016 2:30,"0"
11-05-2016 2:45,"0"
11-05-2016 3:00,"0"
11-05-2016 3:15,"0"
11-05-2016 3:30,"0"
11-05-2016 3:45,"0"
11-05-2016 4:00,"0"
11-05-2016 4:15,"0"
11-05-2016 4:30,"0"
11-05-2016 4:45,"0"
11-05-2016 5:00,"0"
11-05-2016 5:15,"0"
11-05-2016 5:30,"0"
11-05-2016 5:45,"0"
11-05-2016 6:00,"0"
11-05-2016 6:15,"14"
11-05-2016 6:30,"45.5"
11-05-2016 6:45,"68.5"
11-05-2016 7:00,"79.5"
11-05-2016 7:15,"114.1667"
11-05-2016 7:30,"223.1667"
11-05-2016 7:45,"275.1667"
11-05-2016 8:00,"355.8333"
11-05-2016 8:15,"486"
11-05-2016 8:30,"727.6667"
11-05-2016 8:45,"1092.6666"
11-05-2016 9:00,"994.1667"
11-05-2016 9:15,"1190.6666"
11-05-2016 9:30,"2118.6667"
11-05-2016 9:45,"3159.6667"
11-05-2016 10:00,"3287.6667"
11-05-2016 10:15,"3040.5"
11-05-2016 10:30,"2617.6667"
11-05-2016 10:45,"2443"
11-05-2016 11:00,"3589.3333"
11-05-2016 11:15,"3857.8333"
11-05-2016 11:30,"3077.8333"
