Time,Solar Production (W)
08/19/2016 00:00,"0"
08/19/2016 00:15,"0"
08/19/2016 00:30,"0"
08/19/2016 00:45,"0"
08/19/2016 01:00,"0"
08/19/2016 01:15,"0"
08/19/2016 01:30,"0"
08/19/2016 01:45,"0"
08/19/2016 02:00,"0"
08/19/2016 02:15,"0"
08/19/2016 02:30,"0"
08/19/2016 02:45,"0"
08/19/2016 03:00,"0"
08/19/2016 03:15,"0"
08/19/2016 03:30,"0"
08/19/2016 03:45,"0"
08/19/2016 04:00,"0"
08/19/2016 04:15,"0"
08/19/2016 04:30,"0"
08/19/2016 04:45,"0"
08/19/2016 05:00,"0"
08/19/2016 05:15,"0"
08/19/2016 05:30,"0"
08/19/2016 05:45,"0"
08/19/2016 06:00,"0"
08/19/2016 06:15,"0"
08/19/2016 06:30,"0"
08/19/2016 06:45,"17.1667"
08/19/2016 07:00,"64.6667"
08/19/2016 07:15,"118.8333"
08/19/2016 07:30,"217"
08/19/2016 07:45,"330.5"
08/19/2016 08:00,"485.5"
08/19/2016 08:15,"641.8333"
08/19/2016 08:30,"829.5"
08/19/2016 08:45,"578.6667"
08/19/2016 09:00,"659"
08/19/2016 09:15,"495.6667"
08/19/2016 09:30,"460.6667"
08/19/2016 09:45,"590.1667"
08/19/2016 10:00,"764.8333"
08/19/2016 10:15,"1204.1666"
08/19/2016 10:30,"1416"
08/19/2016 10:45,"1426.5"
08/19/2016 11:00,"2626.8333"
08/19/2016 11:15,"2576.6667"
08/19/2016 11:30,"1236.8334"
08/19/2016 11:45,"1361.8334"
08/19/2016 12:00,"1347.1666"
08/19/2016 12:15,"1158.5"
08/19/2016 12:30,"1364.3334"
08/19/2016 12:45,"1390.6666"
08/19/2016 13:00,"1377.8334"
08/19/2016 13:15,"1415.3334"
08/19/2016 13:30,"1207"
08/19/2016 13:45,"822.6667"
08/19/2016 14:00,"1144.5"
08/19/2016 14:15,"922.8333"
08/19/2016 14:30,"964.6667"
08/19/2016 14:45,"868.3333"
08/19/2016 15:00,"610"
08/19/2016 15:15,"614"
08/19/2016 15:30,"612.3333"
08/19/2016 15:45,"637.8333"
08/19/2016 16:00,"545.6667"
08/19/2016 16:15,"682.3333"
08/19/2016 16:30,"605"
08/19/2016 16:45,"848.6667"
08/19/2016 17:00,"488.1667"
08/19/2016 17:15,"371.5"
08/19/2016 17:30,"296.6667"
08/19/2016 17:45,"260.6667"
08/19/2016 18:00,"333.3333"
08/19/2016 18:15,"261.5"
08/19/2016 18:30,"256.3333"
08/19/2016 18:45,"191.8333"
08/19/2016 19:00,"68.1667"
08/19/2016 19:15,"69.8333"
08/19/2016 19:30,"60.6667"
08/19/2016 19:45,"31.1667"
08/19/2016 20:00,"0"
08/19/2016 20:15,"0"
08/19/2016 20:30,"0"
08/19/2016 20:45,"0"
08/19/2016 21:00,"0"
08/19/2016 21:15,"0"
08/19/2016 21:30,"0"
08/19/2016 21:45,"0"
08/19/2016 22:00,"0"
08/19/2016 22:15,"0"
08/19/2016 22:30,"0"
08/19/2016 22:45,"0"
08/19/2016 23:00,"0"
08/19/2016 23:15,"0"
08/19/2016 23:30,"0"
08/19/2016 23:45,"0"
08/20/2016 00:00,"0"
08/20/2016 00:15,"0"
08/20/2016 00:30,"0"
08/20/2016 00:45,"0"
08/20/2016 01:00,"0"
08/20/2016 01:15,"0"
08/20/2016 01:30,"0"
08/20/2016 01:45,"0"
08/20/2016 02:00,"0"
08/20/2016 02:15,"0"
08/20/2016 02:30,"0"
08/20/2016 02:45,"0"
08/20/2016 03:00,"0"
08/20/2016 03:15,"0"
08/20/2016 03:30,"0"
08/20/2016 03:45,"0"
08/20/2016 04:00,"0"
08/20/2016 04:15,"0"
08/20/2016 04:30,"0"
08/20/2016 04:45,"0"
08/20/2016 05:00,"0"
08/20/2016 05:15,"0"
08/20/2016 05:30,"0"
08/20/2016 05:45,"0"
08/20/2016 06:00,"0"
08/20/2016 06:15,"0"
08/20/2016 06:30,"0"
08/20/2016 06:45,"14.5"
08/20/2016 07:00,"42"
08/20/2016 07:15,"76.5"
08/20/2016 07:30,"80.8333"
08/20/2016 07:45,"97.5"
08/20/2016 08:00,"215.5"
08/20/2016 08:15,"177.8333"
08/20/2016 08:30,"271"
08/20/2016 08:45,"222.3333"
08/20/2016 09:00,"31.5"
08/20/2016 09:15,"359.3333"
08/20/2016 09:30,"516"
08/20/2016 09:45,"684.8333"
08/20/2016 10:00,"1281"
08/20/2016 10:15,"897.3333"
08/20/2016 10:30,"1000.5"
08/20/2016 10:45,"1663.5"
08/20/2016 11:00,"1380.5"
08/20/2016 11:15,"1202.3334"
08/20/2016 11:30,"1381"
08/20/2016 11:45,"1150"
08/20/2016 12:00,"3128.8333"
08/20/2016 12:15,"3404.5"
08/20/2016 12:30,"3271.5"
08/20/2016 12:45,"3538"
08/20/2016 13:00,"3468.8333"
08/20/2016 13:15,"3561.8333"
08/20/2016 13:30,"3528.1667"
08/20/2016 13:45,"3363.1667"
08/20/2016 14:00,"3410.3333"
08/20/2016 14:15,"547.6667"
08/20/2016 14:30,"2773.75"
08/20/2016 14:45,"2602.25"
08/20/2016 15:00,"3415.75"
08/20/2016 15:15,"2381.5"
08/20/2016 15:30,"3048.8333"
08/20/2016 15:45,"2940.1667"
08/20/2016 16:00,"2211.1667"
08/20/2016 16:15,"1855"
08/20/2016 16:30,"1594.6666"
08/20/2016 16:45,"2326.6667"
08/20/2016 17:00,"1554.5"
08/20/2016 17:15,"1840.8334"
08/20/2016 17:30,"1557.6666"
08/20/2016 17:45,"1414"
08/20/2016 18:00,"1269.6666"
08/20/2016 18:15,"1134.8334"
08/20/2016 18:30,"196.6667"
08/20/2016 18:45,"30.1667"
08/20/2016 19:00,"47.3333"
08/20/2016 19:15,"57.6667"
08/20/2016 19:30,"192.1667"
08/20/2016 19:45,"211.1667"
08/20/2016 20:00,"74.6667"
08/20/2016 20:15,"51.6667"
08/20/2016 20:30,"35"
08/20/2016 20:45,"0"
08/20/2016 21:00,"0"
08/20/2016 21:15,"0"
08/20/2016 21:30,"0"
08/20/2016 21:45,"0"
08/20/2016 22:00,"0"
08/20/2016 22:15,"0"
08/20/2016 22:30,"0"
08/20/2016 22:45,"0"
08/20/2016 23:00,"0"
08/20/2016 23:15,"0"
08/20/2016 23:30,"0"
08/20/2016 23:45,"0"
08/21/2016 00:00,"0"
08/21/2016 00:15,"0"
08/21/2016 00:30,"0"
08/21/2016 00:45,"0"
08/21/2016 01:00,"0"
08/21/2016 01:15,"0"
08/21/2016 01:30,"0"
08/21/2016 01:45,"0"
08/21/2016 02:00,"0"
08/21/2016 02:15,"0"
08/21/2016 02:30,"0"
08/21/2016 02:45,"0"
08/21/2016 03:00,"0"
08/21/2016 03:15,"0"
08/21/2016 03:30,"0"
08/21/2016 03:45,"0"
08/21/2016 04:00,"0"
08/21/2016 04:15,"0"
08/21/2016 04:30,"0"
08/21/2016 04:45,"0"
08/21/2016 05:00,"0"
08/21/2016 05:15,"0"
08/21/2016 05:30,"0"
08/21/2016 05:45,"0"
08/21/2016 06:00,"0"
08/21/2016 06:15,"0"
08/21/2016 06:30,"0"
08/21/2016 06:45,"40.6667"
08/21/2016 07:00,"80.8333"
08/21/2016 07:15,"51"
08/21/2016 07:30,"85.8333"
08/21/2016 07:45,"253"
08/21/2016 08:00,"263.6667"
08/21/2016 08:15,"233"
08/21/2016 08:30,"100"
08/21/2016 08:45,"209"
08/21/2016 09:00,"445.6667"
08/21/2016 09:15,"470.6667"
08/21/2016 09:30,"287.6667"
08/21/2016 09:45,"385.8333"
08/21/2016 10:00,"734.5"
08/21/2016 10:15,"244.8333"
08/21/2016 10:30,"149.1667"
08/21/2016 10:45,"301.5"
08/21/2016 11:00,"721.8333"
08/21/2016 11:15,"530.3333"
08/21/2016 11:30,"799"
08/21/2016 11:45,"388.3333"
08/21/2016 12:00,"489.8333"
08/21/2016 12:15,"582.6667"
08/21/2016 12:30,"1442.6666"
08/21/2016 12:45,"1819"
08/21/2016 13:00,"1022.6667"
08/21/2016 13:15,"1135.5"
08/21/2016 13:30,"2979.3333"
08/21/2016 13:45,"2023"
08/21/2016 14:00,"1117.6666"
08/21/2016 14:15,"189.1667"
08/21/2016 14:30,"572"
08/21/2016 14:45,"1182.1666"
08/21/2016 15:00,"723"
08/21/2016 15:15,"1581"
08/21/2016 15:30,"1467.1666"
08/21/2016 15:45,"356"
08/21/2016 16:00,"302.1667"
08/21/2016 16:15,"1238.8334"
08/21/2016 16:30,"2482.6667"
08/21/2016 16:45,"1657.6666"
08/21/2016 17:00,"1521.6666"
08/21/2016 17:15,"1819.5"
08/21/2016 17:30,"1341.6666"
08/21/2016 17:45,"926.5"
08/21/2016 18:00,"1056.1666"
08/21/2016 18:15,"1153"
08/21/2016 18:30,"1001.5"
08/21/2016 18:45,"232.6667"
08/21/2016 19:00,"309.8333"
08/21/2016 19:15,"266.1667"
08/21/2016 19:30,"296.8333"
08/21/2016 19:45,"219.5"
08/21/2016 20:00,"85.1667"
08/21/2016 20:15,"49.1667"
08/21/2016 20:30,"9.1667"
08/21/2016 20:45,"0"
08/21/2016 21:00,"0"
08/21/2016 21:15,"0"
08/21/2016 21:30,"0"
08/21/2016 21:45,"0"
08/21/2016 22:00,"0"
08/21/2016 22:15,"0"
08/21/2016 22:30,"0"
08/21/2016 22:45,"0"
08/21/2016 23:00,"0"
08/21/2016 23:15,"0"
08/21/2016 23:30,"0"
08/21/2016 23:45,"0"
08/22/2016 00:00,"0"
08/22/2016 00:15,"0"
08/22/2016 00:30,"0"
08/22/2016 00:45,"0"
08/22/2016 01:00,"0"
08/22/2016 01:15,"0"
08/22/2016 01:30,"0"
08/22/2016 01:45,"0"
08/22/2016 02:00,"0"
08/22/2016 02:15,"0"
08/22/2016 02:30,"0"
08/22/2016 02:45,"0"
08/22/2016 03:00,"0"
08/22/2016 03:15,"0"
08/22/2016 03:30,"0"
08/22/2016 03:45,"0"
08/22/2016 04:00,"0"
08/22/2016 04:15,"0"
08/22/2016 04:30,"0"
08/22/2016 04:45,"0"
08/22/2016 05:00,"0"
08/22/2016 05:15,"0"
08/22/2016 05:30,"0"
08/22/2016 05:45,"0"
08/22/2016 06:00,"0"
08/22/2016 06:15,"0"
08/22/2016 06:30,"0"
08/22/2016 06:45,"0"
08/22/2016 07:00,"0"
08/22/2016 07:15,"1.1667"
08/22/2016 07:30,"24.1667"
08/22/2016 07:45,"86.8333"
08/22/2016 08:00,"49.6667"
08/22/2016 08:15,"139.5"
08/22/2016 08:30,"155.8333"
08/22/2016 08:45,"164.6667"
08/22/2016 09:00,"224.5"
08/22/2016 09:15,"224.3333"
08/22/2016 09:30,"297.8333"
08/22/2016 09:45,"347.8333"
